1.05 -1 11.5617826667
1 -1 8.90870105
0.95 -1 6.8049667333
0.9 -1 5.3829051667
0.85 -1 4.864557
0.8 -1 5.5407903333
0.75 -1 7.919485
0.7 -1 13.1944496833
0.65 -1 23.0499743617
0.6 -1 40.4622598333
0.55 -1 70.9635048333
0.5 -1 123.985861667
0.45 -1 220.386825
0.4 -1 400.106321667
0.35 -1 705.945951667
0.3 -1 1452.262945
0.25 -1 3017.02505833
0.2 -1 7988.99060667
0.15 -1 26873.3964617
0.1 -1 144369.708547
1.05 -0.5 15.4796938
1 -0.5 11.9627469
0.95 -0.5 8.9721676667
0.9 -0.5 6.5842823249
0.85 -0.5 4.9256418333
0.8 -0.5 4.222723
0.75 -0.5 4.8536085
0.7 -0.5 7.4530393167
0.65 -0.5 13.384242845
0.6 -0.5 24.8547754833
0.55 -0.5 45.973721
0.5 -0.5 83.9080135
0.45 -0.5 154.523256667
0.4 -0.5 288.738448333
0.35 -0.5 555.160833333
0.3 -0.5 1076.35864833
0.25 -0.5 2262.513165
0.2 -0.5 6056.57283333
0.15 -0.5 20545.5935483
0.1 -0.5 111051.18852
1.05 0 20.4243268667
1 0 15.9993452823
0.95 0 12.1349014333
0.9 0 8.86561
0.85 0 6.2568282783
0.8 0 4.4424473333
0.75 0 3.6848228333
0.7 0 4.4669205
0.65 0 7.57508606
0.6 0 14.7827036617
0.55 0 29.1453086667
0.5 0 56.1337881667
0.45 0 107.867071667
0.4 0 208.375758333
0.35 0 411.761675
0.3 0 802.984545
0.25 0 1870.12761833
0.2 0 4635.594165
0.15 0 15871.56595
0.1 0 86338.9596283
1.05 0.5 26.4131971667
1 0.5 20.9721951667
0.95 0.5 16.1741002167
0.9 0.5 12.0213533983
0.85 0.5 8.5323131167
0.8 0.5 5.7703646667
0.75 0.5 3.890986
0.7 0.5 3.2558951667
0.65 0.5 4.3904401667
0.6 0.5 8.5006125667
0.55 0.5 17.9573378333
0.5 0.5 36.9524506667
0.45 0.5 74.7836483333
0.4 0.5 150.214108333
0.35 0.5 306.028301667
0.3 0.5 602.582513333
0.25 0.5 1429.49272667
0.2 0.5 3580.34381167
0.15 0.5 12383.30277
0.1 0.5 67820.555935
