12914.286 2.0
13028.571 4.0
13142.857 3.0
13257.143 3.0
13371.429 5.0
13485.714 2.0
13600.0 3.0
13714.286 7.0
13828.571 3.0
13942.857 10.0
14057.143 6.0
14171.429 5.0
14285.714 6.0
14400.0 4.0
14514.286 4.0
14628.571 8.0
14742.857 5.0
14857.143 11.0
14971.429 17.0
15085.714 42.0
15200.0 71.0
15314.286 112.0
15428.571 190.0
15542.857 181.0
15657.143 186.0
15771.429 175.0
15885.714 166.0
16000.0 86.0
16114.286 69.0
16228.571 40.0
16342.857 38.0
16457.143 31.0
16571.428 11.0
16685.715 9.0
16800.0 7.0
16914.285 3.0
17028.572 0.0
17142.857 2.0
17257.143 0.0
17371.428 0.0
17485.715 0.0
17600.0 0.0
